,Name,Online_order,Book_table,Rate,Dish_liked,Approx_cost(for 2 people)
23,My Tea House,Yes,No,3.6 out of 5,"Pasta, Iced Tea",600
29,Srinathji's Cafe,No,No,3.8 out of 5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
30,Redberrys,Yes,No,4.0 out of 5,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600
31,Foodiction,Yes,No,2.8 out of 5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
33,Ovenstory Pizza,Yes,No,3.9 out of 5,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750
34,Faasos,Yes,No,4.2 out of 5,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500
35,Behrouz Biryani,Yes,No,3.9 out of 5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650
37,Szechuan Dragon,Yes,No,4.2 out of 5,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600
38,Empire Restaurant,Yes,No,4.4 out of 5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
40,Chaatimes,Yes,No,3.8 out of 5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200
42,McDonald's,Yes,No,3.9 out of 5,"Burgers, Fries, Hot Chocolate",500
43,Domino's Pizza,Yes,No,3.9 out of 5,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800
45,Hotboxit,No,No,3.8 out of 5,Prompt Service,400
46,Kitchen Garden,Yes,No,3.6 out of 5,Biryani,300
47,Recipe,Yes,No,4.0 out of 5,"Butter Chicken, Noodles, Thali, Biryani",450
48,Beijing Bites,Yes,No,3.7 out of 5,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850
49,Tasty Bytes,Yes,No,3.1 out of 5,"Paratha, Pasta",300
52,Corner House Ice Cream,No,No,4.3 out of 5,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400
53,Biryanis And More,Yes,No,4.0 out of 5,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750
54,Roving Feast,No,No,4.0 out of 5,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450
55,FreshMenu,Yes,No,3.9 out of 5,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450
57,Wamama,Yes,Yes,4.2 out of 5,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",800
60,Peppy Peppers,No,No,4.2 out of 5,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800
61,Goa 0 Km,Yes,Yes,3.6 out of 5,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",800
63,1947,No,Yes,4.0 out of 5,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",850
65,Kabab Magic,Yes,No,4.1 out of 5,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",400
67,Gustoes Beer House,No,No,4.1 out of 5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","1,200"
71,The Biryani Cafe,No,No,4.1 out of 5,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",300
74,Rolls On Wheels,No,No,3.6 out of 5,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300
76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1 out of 5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150
79,Upahar Sagar,No,No,3.8 out of 5,Masala Dosa,350
81,Frozen Bottle,Yes,No,4.2 out of 5,"Berryblast, Waffles, Cheesecake, Salted Caramel",400
86,Meghana Foods,Yes,No,4.4 out of 5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600
94,Nandhini Deluxe,No,No,2.6 out of 5,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600
95,Vi Ra's Bar and Restaurant,No,No,3.3 out of 5,Chilli Chicken,800
98,Chatar Patar,No,No,3.7 out of 5,"Panipuri, Chaat, Noodles, Dahi Bhalle",300
99,Polar Bear,Yes,No,3.8 out of 5,Hot Chocolate Fudge,400
100,Kidambi's Kitchen,No,No,3.5 out of 5,Rooftop Ambience,300
101,Mane Thindi,No,No,3.7 out of 5,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200
103,Floured-Baked With Love,No,No,3.8 out of 5,"Cup Cake, Chocolate Cake",400
120,Bengaluru Coffee House,Yes,No,4.1 out of 5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300
145,Anna Kuteera,Yes,No,4.0 out of 5,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450
146,Darbar,No,No,3.0 out of 5,"Paneer Tikka, Dal Kichadi, French Fries",800
148,Sri Udupi Food Hub,Yes,Yes,4.1 out of 5,"Filter Coffee, Masala Dosa, Idli, Vada",500
150,House Of Kebabs,Yes,No,3.8 out of 5,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650
151,Roll N Rock,Yes,No,3.8 out of 5,"Rolls, Paratha, Chicken Biryani",400
152,BOX8- Desi Meals,Yes,No,4.1 out of 5,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500
153,KFC,Yes,No,3.8 out of 5,"Burgers, French Fries",450
155,Roll Over,Yes,No,4.1 out of 5,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500
156,Imperial Restaurant,Yes,No,3.7 out of 5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750
159,Wahab,Yes,No,3.7 out of 5,"Chicken Biryani, Rolls",350
162,Canton,Yes,No,3.6 out of 5,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800
164,The Blue Wagon - Kitchen,Yes,No,4.6 out of 5,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400
166,Patio 805,Yes,Yes,4.1 out of 5,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","1,200"
167,Lassi Corner,Yes,No,3.7 out of 5,Lassi,150
168,Sagar Deluxe,Yes,No,3.2 out of 5,"Coffee, Chaat",300
174,Energy Addaa,Yes,No,4.2 out of 5,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
176,Tandoori Knight,Yes,No,3.0 out of 5,"Chicken Grill, Biryani, Roti, Chicken Masala",450
177,Dev Sagar - Food Street,Yes,No,4.1 out of 5,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
178,Mitraa Da Pizza,Yes,No,3.8 out of 5,"Pizza, Burgers",250
180,Grazers,Yes,Yes,3.9 out of 5,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650
181,Shakes Theory,Yes,No,4.5 out of 5,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300
182,@Italy,Yes,No,4.1 out of 5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700
185,Old Mumbai Ice Cream,Yes,No,3.9 out of 5,Friendly Staff,150
186,Donne Biriyani House,Yes,No,3.9 out of 5,Biryani,400
188,Kedia's Fun Food,Yes,No,4.3 out of 5,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
190,Just Shawarma,Yes,No,3.9 out of 5,"Whole Meat Shawarma, Fries",300
191,Mini Punjabi Dhaba,Yes,No,4.2 out of 5,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350
194,Gokul Veg,Yes,No,3.8 out of 5,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750
195,Olive - Era,Yes,No,3.3 out of 5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550
198,Gama Gama,Yes,No,3.9 out of 5,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200
200,Pizza Hut,Yes,No,3.8 out of 5,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750
201,Mangalore Pearl,Yes,No,3.8 out of 5,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650
203,Twiststick House,Yes,No,4.1 out of 5,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500
204,Cool Corner,Yes,No,4.2 out of 5,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250
205,Pizza Mane,Yes,No,3.5 out of 5,"French Fries, Burgers",150
206,Dal Tadkaa,Yes,No,2.5 out of 5,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500
207,Chutney Chang,Yes,Yes,4.1 out of 5,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","1,500"
208,Mystique Palate,Yes,No,4.1 out of 5,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300
209,Thamboola,Yes,No,3.9 out of 5,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800
210,Castle Rock,Yes,No,3.6 out of 5,Biryani,700
211,Vietnamese Kitchen,Yes,No,3.6 out of 5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700
217,Toscano,Yes,Yes,4.3 out of 5,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","1,300"
219,Stoned Monkey,Yes,No,4.3 out of 5,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500
220,Central Jail Restaurant,Yes,No,3.8 out of 5,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700
221,Bella,Yes,Yes,3.9 out of 5,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","1,000"
223,New Prashanth Hotel,Yes,No,3.6 out of 5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750
226,Karma Kaapi,Yes,No,4.4 out of 5,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250
227,Tiwari's,Yes,No,3.8 out of 5,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200
228,Pizza Stop,Yes,No,3.8 out of 5,"Pizza, White Sauce Pasta, Masala Garlic Bread",600
229,Biggies Burger 'n' More,Yes,No,3.6 out of 5,"Burgers, Fries, Mojito, Chicken Burger",650
231,Kollapuri's,No,No,3.9 out of 5,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450
235,RS Shiv Sagar,No,No,3.7 out of 5,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
237,Harshi Super Sandwich,No,No,3.8 out of 5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150
248,Ugadi,Yes,No,2.9 out of 5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700
251,Subway,Yes,No,3.7 out of 5,"Veggie Delight, Paneer Tikka, Salad",600
253,The Lassi Park,Yes,No,4.1 out of 5,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200
255,A2B - Adyar Ananda Bhavan,Yes,No,3.8 out of 5,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",400
256,Srikrishna Bhavan,Yes,No,3.8 out of 5,"Roti, Masala Dosa",300
258,Green Gardenia,Yes,No,3.8 out of 5,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",700
259,J Spice,Yes,No,3.8 out of 5,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",750
262,Hatti Kaapi,Yes,No,4.0 out of 5,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa",200
264,Upahara Darshini,Yes,No,3.9 out of 5,Masala Dosa,600
265,The Chaat Shop,Yes,No,2.5 out of 5,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",200
271,Samskruti - Sanman Gardenia,Yes,No,4.1 out of 5,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",550
274,Chumma Delicious,Yes,No,3.7 out of 5,Chicken Biryani,200
275,New Prashanth Hotel,Yes,No,3.9 out of 5,"Chicken Biryani, Ragi Mudde, Mutton Chops",650
277,Dwaraka Grand,Yes,No,3.9 out of 5,"Masala Dosa, Coffee",500
278,Gufha - The President Hotel,Yes,Yes,4.1 out of 5,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","1,200"
282,Mojo Pizza - 2X Toppings,Yes,No,4.2 out of 5,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",600
284,South Kitchen,Yes,No,4.3 out of 5,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",100
285,Chung Wah,Yes,No,3.7 out of 5,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings",850
290,Prems Graama Bhojanam,Yes,No,4.3 out of 5,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",400
291,Java City,Yes,No,2.6 out of 5,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",450
292,Kamat Bugle Rock,Yes,No,3.9 out of 5,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",300
294,Puliyogare Point,Yes,No,4.2 out of 5,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100
295,Bangalore Agarwal Bhavan,Yes,No,3.9 out of 5,"Paratha, Coffee, Halwa, Lassi",400
296,Rustic Stove,Yes,No,3.8 out of 5,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",900
298,De Thaali,Yes,No,3.9 out of 5,"Malai Kofta, Sandwich, Naan",550
301,Matru Sagar,Yes,No,3.6 out of 5,"Coffee, Masala Dosa",250
303,Sea Spice by 7 Star,Yes,Yes,4.0 out of 5,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","1,200"
304,Desi Dawat,Yes,No,3.7 out of 5,"Tandoori Chicken, Rolls",400
305,Cafe Aira,Yes,No,4.1 out of 5,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles",500
308,Mast Punjabi,Yes,No,2.6 out of 5,Aloo Paratha,400
309,South Grand,Yes,No,3.4 out of 5,Rava Dosa,400
311,The Pizzeria,Yes,No,2.8 out of 5,Pesto Pizza,800
313,Ruchis Point,Yes,No,3.8 out of 5,"Sandwiches, Noodles, Sandwich",200
314,Firangi Bake,Yes,No,4.0 out of 5,"Lasagne, Steak, Masala Quesadilla, Garlic Bread",600
315,The Royal Corner - Pai Viceroy,Yes,Yes,4.2 out of 5,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian",900
316,Hara Fine Dine,Yes,Yes,4.0 out of 5,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan",800
317,Chocoberry,Yes,No,3.5 out of 5,"Waffles, Cup Cake, Chocolate Cake",400
322,Waffle-A-Go Go,Yes,No,3.9 out of 5,Waffles,400
323,Cross Road Cafe,Yes,No,3.9 out of 5,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali",300
330,Bakers Town,Yes,No,3.8 out of 5,"Freak Shake, Fries, Pasta Alfredo",650
333,Ivy,Yes,No,3.8 out of 5,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken",600
334,The Airos,Yes,No,4.1 out of 5,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls",650
335,Chai Kraft,Yes,No,4.1 out of 5,"Masala Chai, Coffee, Masala Tea, Maggi",100
338,The Trundle,Yes,No,3.7 out of 5,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup",700
339,The Krishna Grand Xpress,Yes,No,4.0 out of 5,"Vada, Masala Dosa, Idli",350
342,Udupi Grand,Yes,No,3.8 out of 5,"Coffee, Masala Dosa, Vegetable Biryani",300
346,Little Cafe,Yes,No,3.7 out of 5,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread",600
350,1980s Games Cafe,Yes,No,3.4 out of 5,"Maggi, Pasta, Burgers, Sandwiches, Fries",400
351,Kadala Tarangaa,Yes,No,3.6 out of 5,"Sea Food, Neer Dosa",600
355,As On Fire,Yes,No,3.5 out of 5,Pizza,400
357,Curry Leaves,Yes,No,4.1 out of 5,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani",800
359,Magic Meals,Yes,No,3.7 out of 5,"Biryani, Thick Shakes, Fries",400
360,Desi Cream Junction,Yes,Yes,3.7 out of 5,Vegetarian,650
374,Eat Repeat,Yes,No,3.9 out of 5,"Sweet Pongal, Curd Rice",150
375,Salut,Yes,Yes,4.1 out of 5,"Pesto Pizza, Buffalo Wings, Cocktails, Beer, Egg Ghee Roast, Brownie, Pepper Chicken","1,200"
390,Sandwich Mama's And Frozen Monster,Yes,No,3.8 out of 5,"Waffles, Sandwiches, Maggi, Thick Shakes, Chocolate Sandwich",250
395,Food Springs,Yes,No,4.0 out of 5,"Honey Chilli Potatoes, Nachos, Lemonade, Hakka Noodles, Babycorn Manchurian, Mushroom Manchurian, Spring Roll",400
396,Chung's Chinese Corner,Yes,No,3.9 out of 5,"Manchow Soup, Momos, Wonton Soup, Chowmein, American Chopsuey, Chop Suey, Manchurian",700
397,Eurasia Pasta and Barbeque by Little Italy,Yes,Yes,4.1 out of 5,"Pasta, Pizza, Nachos, Gelato, Ravioli, Jalapeno Poppers, Cocktails","1,200"
398,Goli Vada Pav No. 1,Yes,No,3.7 out of 5,"Masala Vada Pav, Cheese Vada Pav, Fries",200
399,Ragoo's,Yes,No,3.9 out of 5,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli",800
400,Pure & Natural,Yes,No,3.9 out of 5,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad",500
401,Maiyas,Yes,No,4.0 out of 5,"Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath",200
402,Sip n Dine,Yes,No,3.6 out of 5,"Veg Jaipuri, Neer Dosa, Kulcha, Pepper Chicken, Chilli Mushroom, Murgh Platter, Paneer Tikka",800
403,Cafe Mondo,Yes,No,3.7 out of 5,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge",600
404,Jalpaan,Yes,Yes,4.0 out of 5,"Mocktails, Tomato Soup, Pasta, Nachos, Chaat, Potli Biryani, Lassi",900
405,Kataria's Pakwan,Yes,No,3.2 out of 5,"Paratha, Lassi, Manchurian, Thali",400
406,Juicy Momos,Yes,No,3.5 out of 5,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos",250
407,Amande Patisserie,Yes,No,4.0 out of 5,"Macaroon, Mousse, Caramel Eclair",300
408,Anand Sweets and Savouries,Yes,No,3.9 out of 5,"Dahi Papadi Chaat, Papdi Chaat, Bhel Puri, Paratha, Kachori, Thali, Masala Poori",400
409,Chicken Hunt,Yes,No,3.5 out of 5,Chicken Grill,350
410,Swadesh Tadka,Yes,No,3.5 out of 5,"Gulab Jamun, Roti, Masala Papad, Babycorn Manchurian, Paratha, Clear Soup, Biryani",600
411,Cane-O-La,Yes,No,3.8 out of 5,"Sugarcane Juice, Popcorn",100
412,New Biryani Mane,Yes,No,3.7 out of 5,"Egg Biryani, Tandoori Chicken, Fish, Rumali Roti",450
413,Upahara Darshini,Yes,No,3.8 out of 5,"Rava Dosa, Roti, Masala Dosa, Kulcha, Sandwiches, Vada Pav, Idli",400
414,Karnataka Bhel House,Yes,No,4.1 out of 5,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",100
415,Sreeraj Lassi Bar,Yes,No,4.1 out of 5,"Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi",150
417,Bunt's Biriyani Palace,Yes,No,3.0 out of 5,"Neer Dosa, Sea Food, Pepper Chicken",400
418,Chai Point,Yes,No,3.2 out of 5,"Ginger Chai, Ginger Tea, Banana Cake, Samosa, Masala Chai, Banana Walnut",250
419,Janahaar,Yes,No,3.8 out of 5,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",100
421,Utsav,Yes,No,3.7 out of 5,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav",200
424,The Spice Saga,Yes,No,3.7 out of 5,"Biryani, Chicken Grill, Butter Chicken",750
457,Subz,Yes,Yes,4.2 out of 5,"Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries","1,000"
461,Mint and Mustard,Yes,No,4.0 out of 5,"Paneer Tikka, Masala Papad, Garlic Naan",750
464,Punjabi Raswada,Yes,Yes,3.5 out of 5,"Gajar Ka Halwa, Lassi, Jeera Rice, Shahi Paneer, Shikanji, Makke Ki Roti, Kofta Curry",800
465,Vinny's,Yes,Yes,4.2 out of 5,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",800
467,Kapoor's Cafe,Yes,No,4.2 out of 5,"Lassi, French Fries, Cheese Balls, Paneer Pakora, Dal Makhani, Buttermilk, Cheese Paratha",800
469,Sukh Sagar,Yes,No,3.8 out of 5,"Pav Bhaji, Chaat, Sandwiches, Coffee, Noodles, Masala Dosa, Roti",450
471,Andhra Ruchulu,Yes,Yes,4.1 out of 5,"Andhra Meal, Mutton Biryani, Chicken Sholay, Chicken Biryani, Chicken Guntur, Andhra Thali, Guava Ice Cream","1,000"
473,Steaming Mugs,Yes,No,3.9 out of 5,"Fries, Oreo Shake, Pasta Arrabiata",700
475,Rajathadri Food Fort,Yes,No,4.0 out of 5,"Butter Naan, Filter Coffee, Pav Bhaji, Vada, Babycorn Manchurian, Tea, Paneer Tikka Masala",600
476,Brew Meister,Yes,Yes,4.1 out of 5,"Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav","1,500"
477,Rasoi,Yes,No,3.3 out of 5,"Lassi, Panneer Butter Masala, Paratha, Thali",300
478,Mr. Singh Da Dhaba,Yes,No,3.6 out of 5,"Mughlai Paratha, Laccha Paratha, Rolls",300
